order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
1,7/3/2022,Aalopuri,Fastfood,20,13,260,,Mr.,Night
2,8/23/2022,Vadapav,Fastfood,20,15,300,Cash,Mr.,Afternoon
3,11/20/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Afternoon
4,2/3/2023,Sugarcane juice,Beverages,25,6,150,Online,Mr.,Night
5,10/2/2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Evening
6,11/14/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Evening
7,5/3/2022,Sugarcane juice,Beverages,25,9,225,Cash,Mr.,Evening
8,12/22/2022,Panipuri,Fastfood,20,14,280,Online,Mr.,Night
9,6/10/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Morning
10,9/16/2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon
11,12/1/2022,Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon
12,7/12/2022,Vadapav,Fastfood,20,8,160,Online,Mrs.,Night
13,12/22/2022,Panipuri,Fastfood,20,9,180,Online,Mrs.,Afternoon
14,11/25/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Morning
15,2/3/2023,Aalopuri,Fastfood,20,3,60,Cash,Mrs.,Evening
16,4/14/2022,Sandwich,Fastfood,60,11,660,,Mrs.,Midnight
17,10/16/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Morning
18,11/5/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Night
19,8/22/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Night
20,9/15/2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Night
21,12/21/2022,Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening
22,10/4/2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Evening
23,5/26/2022,Sandwich,Fastfood,60,3,180,Online,Mr.,Midnight
24,2/11/2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Afternoon
25,8/31/2022,Sandwich,Fastfood,60,1,60,Online,Mrs.,Evening
26,8/18/2022,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Afternoon
27,10/12/2022,Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon
